check,ks_statistic,p_value,confound_detected,threshold,domain,effect_size_d,real_mean,shuffled_mean,shuffled_repeat_rate,real_repeat_rate,overlap_fraction,real_unique_elements,shuffled_unique_elements
position_modulo,0.0021108179419525065,1.0,False,0.05,pubg,,,,,,,,
backoff_level_differential,,,False,0.15,pubg,0.0,1.0,1.0,,,,,
adjacency_echo,,,False,0.1,pubg,,,,0.0,0.0,,,
self_leakage,,,True,0.2,pubg,,,,,,0.9797979797979798,98.0,99.0
position_modulo,0.015539311178403122,0.999999998608647,False,0.05,nba,,,,,,,,
backoff_level_differential,,,False,0.15,nba,0.0,1.0,1.0,,,,,
adjacency_echo,,,False,0.1,nba,,,,0.0,0.0,,,
self_leakage,,,True,0.2,nba,,,,,,0.98989898989899,99.0,99.0
position_modulo,0.016172610776594102,0.9999999987551509,False,0.05,csgo,,,,,,,,
backoff_level_differential,,,False,0.15,csgo,0.0,1.0,1.0,,,,,
adjacency_echo,,,False,0.1,csgo,,,,0.0,0.0,,,
self_leakage,,,True,0.2,csgo,,,,,,0.9690721649484536,97.0,97.0
position_modulo,0.0073997538480239464,1.0,False,0.05,rocket_league,,,,,,,,
backoff_level_differential,,,False,0.15,rocket_league,0.0,1.0,1.0,,,,,
adjacency_echo,,,False,0.1,rocket_league,,,,0.0,0.0,,,
self_leakage,,,True,0.2,rocket_league,,,,,,1.0,100.0,96.0
position_modulo,0.00773493419533595,1.0,False,0.05,poker,,,,,,,,
backoff_level_differential,,,False,0.15,poker,0.0,1.0,1.0,,,,,
adjacency_echo,,,False,0.1,poker,,,,0.0,0.0,,,
self_leakage,,,True,0.2,poker,,,,,,1.0,100.0,98.0
